nimi,loitsunPiiri,loitsunKoulukunta,loitsimisviive,kantama,komponentit,kesto,kuvaus
Taikatemppu,Taikakonsti, muovaaminen,1 toiminto,4 metriä,"taikasana, ele",korkeintaan tunti,"Tämä loitsu on maaginen temppu, jota loitsimistaan aloittelevat käyttävät kykyjensä harjoittamiseen. Taikatemppua voi nokkelampi käyttää myös hyödykseen. Luot loitsun avulla jonkin seuraavista vaikutuksista kantaman sisällä: Luot hetkellisen ja harmittoman aistielämyksen, kipinäsuhkun, tuulenhönkäyksen, hetken soiton ääniä tai kummallisen hajun tai tuoksun. Sammutat kynttilän soihdun tai nuotion välittömästi. Puhdistat tai likaat törkyiseksi yhden esineen, joka voi olla korkeintaan 30 cm kanttiinsa.Viilennät, lämmität tai maustat 30 cm kanttiinsa kuollutta materiaalia, kuten ruokaa.Merkitset jollain symbolilla tai värillä esineen tai pinnan, kuten seinän tai oven enintään tunnin ajaksi. Luot pienen ei-maagisen esineen tai illuusion sellaisesta. Esineen täytyy olla tarpeeksi pieni mahtuakseen kämmenellesi. Tämä esine katoaa seuraavaan vuoroon mennessä. Loitsiessasi taikatempun useita kertoja sinulla voi olla enintään kolme korkeintaan tunnin mittaisia vaikutuksia käytössä samaan aikaan. Voit päättää minkä tahansa taikatempun vaikutuksen toiminnolla."
Tanssivat valot,Taikakonsti, luominen,1 toiminto,48 metriä,"taikasana, ele, aines (fosforia, lahopuuta tai kiiltomato)","Keskittyminen, korkeintaan minuutti","Luot korkeintaan neljä soihdun kokoista valoa kantaman sisälle. Ne voivat vaikuttaa soihduilta, lyhdyiltä tai ilmassa leijuvilta valopalloilta, ihan miten itse haluat. Voit myös yhdistää valopallot hehkuvaksi keskikokoisen humanoidin muotoiseksi hahmoksi. Millä tavalla ikinä haluat tanssivien valojen ilmenevän, ne levittävät valoa 4x4 metrin alueella. Vuorollasi voit bonustoimintona liikuttaa valoja haluamallasi tavalla 24 metriä uuteen sijaintiin kantaman sisällä. Valot voivat olla korkeintaan neljän metrin etäisyydellä toisistaan, ja loitsun kantaman ulkopuolelle liikuttelemasi valot yksinkertaisesti vain sammuvat."
Tarkka isku,Taikakonsti, ennustaminen,1 toiminto,12 metriä,ele,"keskittyminen, korkeintaan 1 kierros","Ojennat kätesi ja osoitat sormella kohdetta loitsun kantamalla. Taikakonsti antaa sinulle oivalluksen, miten pääset kohteen puolustuksen läpi. Seuraavalla vuorollasi saat edun ensimmäiseen hyökkäysheittoosi, jos loitsu ei ole päättynyt esim. keskittymisen rikkoutumisen vuoksi."
Tulinuoli,Taikakonsti, luominen,1 toiminto,48 metriä," taikasana, ele",välitön,"Heität tulenlieskan olentoon tai esineeseen loitsun kantamalla. Tee kantamahyökkäys loitsulla. Osuma aiheuttaa 1n10 tulivahinkoa. Tulenarka kohde, joka ei ole kenenkään päällä tai kantamana, syttyy myös tuleen. Loitsun vaurio kasvaa 1n10 viidennellä tasolla (2n10), tasolla 11 (3n10) ja tasolla 17 (4n10)."
Vakauttaminen,Taikakonsti, kuolontaikuus,1 toiminto,kosketus,taikasana,välitön,"Kosketat elävää olentoa, jolla on 0 osumapistettä. Olennon tilasta tulee vakaa. Tämä loitsu ei vaikuta olentoihin, jotka ovat epäkuolleita tai rakennelmia."
Valo,Taikakonsti, luominen,1 toiminto,kosketus,"taikasana, aines (tulikärpänen tai pala itsevalaisevaa sammalta)",1 tunti,"Koskettamasi esine alkaa loistaa kirkasta valoa. 8 metrin etäisyydelle valaistus on kirkas ja siitä ulommaksi 8 metrin päähän valaistus on himmeä. Esine ei voi olla kooltaan 4 metriä suurempi mihinkään suuntaan. Voit valita loitsimasi valon värin mielesi mukaan. Esineen kokonaan peittäminen jollakin läpinäkemättömällä estää valoa loistamasta läpi. Valo päättyy, kun lopetat sen toiminnolla tai kun loitsit valon uudestaan. Loitsiessasi valon esineeseen, joka on vastustajan kädessä, päällä tai kantamuksissa täytyy esinettä kantavan olennon onnistua ketteryyspelastusheitossa välttääkseen loitsun vaikutuksen."
Vastustus,Taikakonsti, suojelus,1 toiminto,kosketus,"taikasana, ele, aines (pieni nukenvaatteen kokoinen kaapu)","Keskittyminen, korkeintaan minuutti","Kosketat yhtä vapaaehtoista olentoa. Ennen loitsun vaikutuksen loppumista kohde voi lisätä 1n4 valitsemaansa pelastusheittoon. Kohde voi heittää ja lisätä nopan ennen tai jälkeen pelastusheittoa, jolloin loitsun vaikutus päättyy."
Velhonkäsi,Taikakonsti, kutsuminen,1 toiminto,12 metriä,"taikasana, ele",1 minuutti,"Luot aavemaisen ilmassa leijuvan käden jonnekin kantaman sisällä. Voit ennen loitsun keston loppumista päättää velhonkäden toiminnolla. Käsi katoaa myös, jos se päätyy kauemmas kuin 12 metrin päähän sinusta tai jos loitsit velhonkäden uudestaan. Voit käyttää toiminnon käden ohjailuun. Se voi käyttää esineitä, avata lukitsemattoman oven tai kirstun, kaataa astian sisällön tai poimia tavaraa mukaansa. Voit liikuttaa kättä korkeintaan 12 metriä joka kerta kun ohjailet sitä. Velhonkädellä ei voi hyökätä, käyttää taikaesineitä tai nostaa enempää kuin 5 kiloa."
Velhonlieska,Taikakonsti, luominen,1 toiminto,48 metriä,"taikasana, ele",välitön,"Rätisevä energiasäde singahtaa ilmojen halki valitsemaasi olentoon loitsun kantamalla. Tee kantamahyökkäys loitsulla. Osuma aiheuttaa 1n10 energiavahinkoa. Saavutettuasi korkeampia tasoja loitsu luo useampia säteitä: kaksi sädettä tasolla 5, kolme tasolla 11 ja neljä tasolla 17. Useampia säteitä loitsiessasi voit valita niille saman tai eri kohteet. Tee hyökkäysheitto jokaiselle säteelle erikseen."
Velhonnäytös,Taikakonsti, muovaaminen,1 toiminto,12 metriä,taikasana,korkeintaan minuutti,"Luot pienen ihmetyksen aiheen, joka on yliluonnollinen voima loitsun kantaman sisällä. Voit luoda jonkin seuraavista: Äänesi jyrisee kolme kertaa voimakkaampana minuutin ajan. Liekit lepattavat, kirkastuvat, himmenevät tai vaihtavat väriä minuutin ajaksi. Aiheutat harmittomia maanjäristyksiä minuutin ajan. Luot äkillisen äänen, joka kuuluu jostain kantaman sisällä. Se voi olla esimerkiksi ukkosen jyrähdys, korpin raakkumista tai aavemaisia kuiskauksia. Aiheutat välittömästi lukitsemattoman oven tai ikkunan joko auki paukahtamisen tai sulkeutumisen. Voit muuttaa silmiesi ulkonäköä minuutin ajaksi (kenties kissan tai lohikäärmeen silmiksi tai hehkuviksi). Loitsiessasi velhonnäytöksen useita kertoja sinulla voi olla useampia sen korkeintaan minuutin piirinmittaisia vaikutuksia käytössä samaan aikaan. Voit päättää minkä tahansa velhonnäytöksen vaikutuksen toiminnolla."
Viesti,Taikakonsti, muovaaminen,1 toiminto,48 metriä,"taikasana, ele, aines (pieni pätkä kuparilankaa)",1 kierros,"Osoitat sormella olentoa kantaman sisällä ja kuiskaat viestisi. Kohde (ja ainoastaan kohde) kuulee viestisi ja voi vastata kuiskauksella, jonka vain sinä kuulet. Voit loitsia viestin jopa kiinteiden esteiden kuten seinien läpi, jos tunnet kohteen ja tiedät hänen olevan esteen takana. Viestin pääsyn perille estää maaginen hiljaisuus, 90 cm puuta, 30 cm kiveä, 2-3 cm mitä tahansa metallia tai paperinohut kerros lyijyä. Viestin ei tarvitse kuitenkaan kulkea suorassa linjassa, ja se voi kulkea vapaasti kulmien ympäri tai aukoista, kuten vaikka ikkunan kalterien välistä, vaikka se ei pääsisikään viereisen seinän läpi."
Vähäinen illuusio,Taikakonsti, illuusio,1 toiminto,12 metriä,"taikasana, aines (pieni pala villaa)",1 minuutti,"Luot joko äänen tai kuvan jostakin esineestä loitsun keston ajaksi. Voit myös päättää illuusion toimintona tai loitsimalla vähäisen illluusion uudelleen. Ääni voi olla voimakkuudeltaan mitä tahansa kuiskauksen ja huudon välillä. Se voi olla esimerkiksi omaa puheääntäsi, jonkun muun puheääntä, leijonan ärjyntää tai rumpujen pärinää. Ääni jatkuu loitsun keston loppuun saakka ja voit vaihdella ja muokata ääniä ennen kuin loitsu loppuu. Luodessasi näkyvän illuusion se voi olla esimerkiksi tuoli, törkyiset saappaanjäljet lattialla tai pieni kirstu. Tämä illuusio ei voi olla 2x2x2 metriä isompi. Illuusioon koskeminen paljastaa sen illuusioksi, koska todelliset esineet läpäisevät sen. Illuusio ei luo valoa, lämpöä, hajua tai mitään sisältöä muille aisteille. Olennon käyttäessä toiminnon illuusion tarkasteluun hän voi tehdä viisausheiton (tutkimus) loitsun pelastusheiton VA:ta vastaan nähdäkseen sen läpi."
